time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.001	6.200	1150	686.977	686.977	1015.88	809.001	0.979995	0.0200046	0.991389	0.00861149	0	1	0
0.002	6.200	1150	686.977	686.977	1015.88	809.001	0.965592	0.0344079	0.982434	0.0175659	0	1	0
0.003	6.200	1150	701.045	686.977	1015.88	809.001	0.955075	0.0449246	0.971879	0.0280826	3.81039e-05	1	0
0.004	6.200	1150	701.045	686.977	1015.88	809.001	0.946616	0.0533836	0.962087	0.0378753	3.81039e-05	1	0
0.005	6.200	1150	701.045	686.977	1015.88	809.001	0.9361	0.0639003	0.952522	0.0474394	3.81039e-05	1	0
0.006	6.200	1150	710.679	686.977	1015.88	809.001	0.927984	0.0720165	0.942996	0.0569273	7.62079e-05	1	0
0.007	6.200	1150	696.612	686.977	1015.88	809.001	0.923068	0.0769319	0.933661	0.0663009	3.81039e-05	1	0
0.008	6.200	1150	731.492	686.976	1015.88	809.001	0.916324	0.0836763	0.924402	0.0754458	0.000152416	1	0
0.009	6.200	1150	742.283	686.976	1015.88	809.001	0.91198	0.0880201	0.916971	0.082838	0.00019052	1	0
0.01	6.200	1150	751.147	686.976	1015.88	809.001	0.905921	0.0940786	0.908246	0.0915257	0.000228624	1	0
0.011	6.200	1150	764.444	686.976	1015.88	809.001	0.903292	0.0967078	0.900549	0.0991846	0.000266728	1	0
0.012	6.200	1150	784.678	686.975	1015.88	809.001	0.902721	0.0972794	0.892052	0.107606	0.000342936	1	0
0.013	6.200	1150	807.224	686.974	1015.88	809.001	0.901578	0.0984225	0.883592	0.115988	0.000419143	1	0
0.014	6.200	1150	829.554	686.974	1015.88	809.001	0.898834	0.101166	0.87521	0.124295	0.000495351	1	0
0.015	6.200	1150	857.29	686.973	1015.88	809.001	0.897577	0.102423	0.868008	0.131382	0.000609663	1	0
0.016	6.200	1150	881.184	686.973	1015.88	809.001	0.897805	0.102195	0.860082	0.139194	0.000723975	1	0
0.017	6.200	1150	902.186	686.972	1015.88	809.001	0.891861	0.108139	0.851699	0.1475	0.000800183	1	0
0.018	6.200	1150	939.764	686.971	1015.88	809.001	0.895633	0.104367	0.844498	0.15455	0.000952599	1	0
0.019	6.200	1150	992.547	686.97	1015.88	809.002	0.894262	0.105738	0.836115	0.162742	0.00114312	1	0
0.02	6.200	1150	1009.51	686.969	1015.88	809.002	0.893461	0.106539	0.828723	0.170096	0.00118122	1	0
0.021	6.200	1150	1057.07	686.968	1015.88	809.002	0.887746	0.112254	0.821902	0.176764	0.00133364	1	0
0.022	6.200	1150	1104.08	686.967	1015.88	809.002	0.883859	0.116141	0.815729	0.182785	0.00148605	1	0
0.023	6.200	1150	1148.97	686.966	1015.88	809.002	0.88043	0.11957	0.809518	0.188843	0.00163847	1	0
0.024	6.200	1150	1191.16	686.964	1015.88	809.002	0.875743	0.124257	0.803079	0.19513	0.00179089	1	0
0.025	6.200	1150	1158.45	686.965	1015.88	809.002	0.875171	0.124829	0.797859	0.200465	0.00167657	1	0
0.026	6.200	1150	1264.19	686.963	1015.88	809.002	0.870027	0.129973	0.789781	0.2082	0.00201951	1	0
0.027	6.200	1150	1249.18	686.963	1015.88	809.002	0.868313	0.131687	0.783379	0.21464	0.00198141	1	0
0.028	6.200	1150	1377.62	686.96	1015.88	809.002	0.86717	0.13283	0.776749	0.220812	0.00243865	1	0
0.029	6.200	1150	1404.21	686.96	1015.88	809.002	0.873571	0.126429	0.770995	0.22649	0.00251486	1	0
0.03	6.200	1150	1455.44	686.958	1015.88	809.002	0.870485	0.129515	0.765775	0.23152	0.00270538	1	0
0.031	6.200	1150	1476.24	686.957	1015.88	809.002	0.870599	0.129401	0.759564	0.237616	0.00281969	1	0
0.032	6.200	1150	1509.56	686.957	1015.88	809.002	0.872428	0.127572	0.75301	0.244056	0.002934	1	0
0.033	6.200	1150	1566.17	686.955	1015.88	809.002	0.870142	0.129858	0.747599	0.249314	0.00308642	1	0
0.034	6.200	1150	1609.09	686.954	1015.88	809.002	0.870942	0.129058	0.741084	0.255677	0.00323884	1	0
0.035	6.200	1150	1688.2	686.952	1015.88	809.002	0.873914	0.126086	0.736092	0.260402	0.00350556	1	0
0.036	6.200	1150	1773.3	686.951	1015.88	809.002	0.870828	0.129172	0.731062	0.265127	0.00381039	1	0
0.037	6.200	1150	1864.12	686.949	1015.88	809.002	0.869342	0.130658	0.725956	0.269928	0.00411523	1	0
0.038	6.200	1150	1839.09	686.949	1015.88	809.002	0.865912	0.134088	0.721574	0.274348	0.00407712	1	0
0.039	6.200	1150	1900.89	686.948	1015.88	809.002	0.859282	0.140718	0.717421	0.278311	0.00426764	1	0
0.04	6.200	1150	1922.62	686.948	1015.88	809.002	0.860654	0.139346	0.712544	0.283112	0.00434385	1	0
0.041	6.200	1150	1995.37	686.946	1015.88	809.003	0.853795	0.146205	0.707095	0.288294	0.00461058	1	0
0.042	6.200	1150	2038.81	686.944	1015.88	809.003	0.853452	0.146548	0.701989	0.29321	0.0048011	1	0
0.043	6.200	1150	2069.24	686.943	1015.88	809.003	0.85471	0.14529	0.698141	0.296944	0.00491541	1	0
0.044	6.200	1150	2109.48	686.943	1015.88	809.003	0.857682	0.142318	0.693378	0.301593	0.00502972	1	0
0.045	6.200	1150	2197.24	686.941	1015.88	809.003	0.857796	0.142204	0.688691	0.305975	0.00533455	1	0
0.046	6.200	1150	2188.84	686.941	1015.88	809.003	0.852881	0.147119	0.683623	0.311081	0.00529645	1	0
0.047	6.200	1150	2244.22	686.939	1015.88	809.003	0.852538	0.147462	0.679698	0.314815	0.00548697	1	0
0.048	6.200	1150	2348.94	686.937	1015.88	809.003	0.846594	0.153406	0.67585	0.318282	0.00586801	1	0
0.049	6.200	1150	2392.82	686.935	1015.88	809.003	0.846251	0.153749	0.670744	0.323236	0.00602042	1	0
0.05	6.200	1150	2426.87	686.934	1015.88	809.003	0.842364	0.157636	0.666819	0.327046	0.00613474	1	0
0.051	6.200	1150	2518.49	686.932	1015.88	809.003	0.843621	0.156379	0.663199	0.330361	0.00643957	1	0
0.052	6.200	1150	2626	686.929	1015.88	809.003	0.845107	0.154893	0.658932	0.334248	0.00682061	1	0
0.053	6.200	1150	2674.34	686.928	1015.88	809.003	0.850137	0.149863	0.655921	0.337106	0.00697302	1	0
0.054	6.200	1150	2698.6	686.927	1015.88	809.003	0.849337	0.150663	0.651959	0.340992	0.00704923	1	0
0.055	6.200	1150	2740.97	686.926	1015.88	809.004	0.850937	0.149063	0.647767	0.345031	0.00720165	1	0
0.056	6.200	1150	2875.97	686.923	1015.88	809.004	0.848537	0.151463	0.644185	0.348156	0.00765889	1	0
0.057	6.200	1150	2990.43	686.92	1015.88	809.004	0.847965	0.152035	0.640451	0.351509	0.00803993	1	0
0.058	6.200	1150	3067	686.918	1015.88	809.004	0.849337	0.150663	0.637517	0.354138	0.00834476	1	0
0.059	6.200	1150	3184.59	686.915	1015.88	809.004	0.848308	0.151692	0.634393	0.356882	0.0087258	1	0
0.06	6.200	1150	3200.05	686.915	1015.88	809.004	0.844079	0.155921	0.631268	0.35993	0.00880201	1	0
0.061	6.200	1150	3234.78	686.914	1015.88	809.004	0.841564	0.158436	0.628105	0.362978	0.00891632	1	0
0.062	6.200	1150	3272.77	686.913	1015.88	809.004	0.841221	0.158779	0.625171	0.365798	0.00903064	1	0
0.063	6.200	1150	3369.75	686.91	1015.88	809.004	0.837106	0.162894	0.621704	0.368922	0.00937357	1	0
0.064	6.200	1150	3463.1	686.908	1015.88	809.004	0.836305	0.163695	0.618503	0.371818	0.0096784	1	0
0.065	6.200	1150	3608.5	686.904	1015.88	809.004	0.832876	0.167124	0.617093	0.372733	0.0101738	1	0
0.066	6.200	1150	3695.68	686.902	1015.88	809.005	0.824531	0.175469	0.613931	0.375591	0.0104786	1	0
0.067	6.200	1150	3746.62	686.901	1015.88	809.005	0.820187	0.179813	0.612102	0.377229	0.0106691	1	0
0.068	6.200	1150	3811.98	686.899	1015.88	809.005	0.817444	0.182556	0.608215	0.380963	0.0108215	1	0
0.069	6.200	1150	3913.97	686.896	1015.88	809.005	0.816301	0.183699	0.606081	0.382716	0.0112026	1	0
0.07	6.200	1150	3881.9	686.897	1015.88	809.005	0.81893	0.18107	0.603338	0.385574	0.0110882	1	0
0.071	6.200	1150	3895.59	686.897	1015.88	809.005	0.819502	0.180498	0.599528	0.389346	0.0111264	1	0
0.072	6.200	1150	4012.21	686.894	1015.88	809.005	0.814815	0.185185	0.596822	0.391632	0.0115455	1	0
0.073	6.200	1150	4102.91	686.891	1015.88	809.005	0.811614	0.188386	0.594079	0.394071	0.0118503	1	0
0.074	6.200	1150	4189.09	686.889	1015.88	809.005	0.815386	0.184614	0.592554	0.39529	0.0121552	1	0
0.075	6.200	1150	4250.23	686.887	1015.88	809.005	0.815501	0.184499	0.589735	0.397958	0.0123076	1	0
0.076	6.200	1150	4223.56	686.888	1015.88	809.005	0.813672	0.186328	0.587563	0.400206	0.0122314	1	0
0.077	6.200	1150	4337.95	686.885	1015.88	809.005	0.814358	0.185642	0.583943	0.403406	0.0126505	1	0
0.078	6.200	1150	4416.8	686.884	1015.89	809.005	0.813443	0.186557	0.581238	0.405845	0.0129172	1	0
0.079	6.200	1150	4572.45	686.88	1015.89	809.006	0.805441	0.194559	0.579942	0.406645	0.0134126	1	0
0.08	6.200	1150	4677.87	686.877	1015.89	809.006	0.807956	0.192044	0.578151	0.408017	0.0138317	1	0
0.081	6.200	1150	4821.54	686.873	1015.89	809.006	0.808528	0.191472	0.576513	0.40916	0.0143271	1	0
0.082	6.200	1150	4841.84	686.873	1015.89	809.006	0.811843	0.188157	0.574798	0.410837	0.0143652	1	0
0.083	6.200	1150	4960.79	686.87	1015.89	809.006	0.807613	0.192387	0.573045	0.412094	0.0148605	1	0
0.084	6.200	1150	5085.47	686.867	1015.89	809.006	0.806241	0.193759	0.571559	0.413123	0.0153178	1	0
0.085	6.200	1150	5088.42	686.867	1015.89	809.006	0.803041	0.196959	0.56954	0.415104	0.0153559	1	0
0.086	6.200	1150	5149.27	686.865	1015.89	809.006	0.800869	0.199131	0.567939	0.416476	0.0155845	1	0
0.087	6.200	1150	5262.24	686.863	1015.89	809.006	0.80487	0.19513	0.565539	0.418496	0.0159656	1	0
0.088	6.200	1150	5417.69	686.859	1015.89	809.006	0.804755	0.195245	0.563862	0.419601	0.0165371	1	0
0.089	6.200	1150	5535.03	686.857	1015.89	809.007	0.798925	0.201075	0.562224	0.42082	0.0169563	1	0
0.09	6.200	1150	5599.18	686.855	1015.89	809.007	0.792181	0.207819	0.56009	0.422763	0.0171468	1	0
0.091	6.200	1150	5676.63	686.853	1015.89	809.007	0.788294	0.211706	0.557537	0.425088	0.0173754	1	0
0.092	6.200	1150	5745.75	686.851	1015.89	809.007	0.784636	0.215364	0.555632	0.426802	0.0175659	1	0
0.093	6.200	1150	5893.64	686.847	1015.89	809.007	0.781779	0.218221	0.553155	0.428746	0.0180994	1	0
0.094	6.200	1150	5938.4	686.846	1015.89	809.007	0.785208	0.214792	0.551402	0.430384	0.0182137	1	0
0.095	6.200	1150	6088.79	686.842	1015.89	809.007	0.782922	0.217078	0.550259	0.430918	0.0188234	1	0
0.096	6.200	1150	6204.22	686.84	1015.89	809.007	0.78315	0.21685	0.549383	0.431375	0.0192425	1	0
0.097	6.200	1150	6205.34	686.839	1015.89	809.007	0.78235	0.21765	0.546449	0.434309	0.0192425	1	0
0.098	6.200	1150	6235.1	686.838	1015.89	809.007	0.782579	0.217421	0.545077	0.43549	0.019433	1	0
0.099	6.200	1150	6248.03	686.838	1015.89	809.007	0.783036	0.216964	0.542219	0.438386	0.0193949	1	0
0.1	6.200	1150	6195.69	686.839	1015.89	809.007	0.784865	0.215135	0.540009	0.440748	0.0192425	1	0
0.101	6.200	1150	6255.44	686.838	1015.89	809.007	0.781436	0.218564	0.538409	0.44212	0.0194711	1	0
0.102	6.200	1150	6277.66	686.837	1015.89	809.008	0.777892	0.222108	0.537151	0.443301	0.0195473	1	0
0.103	6.200	1150	6284.59	686.838	1015.89	809.007	0.776749	0.223251	0.53376	0.446731	0.0195092	1	0
0.104	6.200	1150	6391.62	686.835	1015.89	809.008	0.782922	0.217078	0.531283	0.448865	0.0198522	1	0
0.105	6.200	1150	6483.22	686.834	1015.89	809.008	0.781093	0.218907	0.528692	0.451151	0.020157	1	0
0.106	6.200	1150	6666.21	686.829	1015.89	809.008	0.779835	0.220165	0.527397	0.451684	0.0209191	1	0
0.107	6.200	1150	6745.96	686.827	1015.89	809.008	0.782922	0.217078	0.526597	0.45218	0.0212239	1	0
0.108	6.200	1150	6679.54	686.828	1015.89	809.008	0.777892	0.222108	0.52431	0.454733	0.0209572	1	0
0.109	6.200	1150	6833.04	686.825	1015.89	809.008	0.778921	0.221079	0.521986	0.456561	0.0214525	1	0
0.11	6.200	1150	6845.9	686.825	1015.89	809.008	0.773434	0.226566	0.520843	0.457628	0.0215287	1	0
0.111	6.200	1150	6894.98	686.824	1015.89	809.008	0.772748	0.227252	0.518404	0.459915	0.0216811	1	0
0.112	6.200	1150	6898.15	686.824	1015.89	809.008	0.771834	0.228166	0.517071	0.46121	0.0217193	1	0
0.113	6.200	1150	6879.63	686.825	1015.89	809.008	0.771376	0.228624	0.515356	0.463039	0.0216049	1	0
0.114	6.200	1150	6938.6	686.824	1015.89	809.008	0.771719	0.228281	0.514289	0.463877	0.0218336	1	0
0.115	6.200	1150	7140.77	686.818	1015.89	809.008	0.766347	0.233653	0.512879	0.464563	0.0225575	1	0
0.116	6.200	1150	7230.44	686.816	1015.89	809.008	0.760288	0.239712	0.510974	0.466087	0.0229386	1	0
0.117	6.200	1150	7326.96	686.813	1015.89	809.009	0.758002	0.241998	0.510669	0.466011	0.0233196	1	0
0.118	6.200	1150	7401.76	686.812	1015.89	809.009	0.759259	0.240741	0.510669	0.465745	0.0235863	1	0
0.119	6.200	1150	7470.5	686.81	1015.89	809.009	0.755716	0.244284	0.508916	0.467307	0.0237769	1	0
0.12	6.200	1150	7586.43	686.806	1015.89	809.009	0.756744	0.243256	0.508726	0.467078	0.024196	1	0
0.121	6.200	1150	7735.25	686.803	1015.89	809.009	0.75423	0.24577	0.508345	0.466964	0.0246914	1	0
0.122	6.200	1150	7754.53	686.803	1015.89	809.009	0.75663	0.24337	0.508383	0.466888	0.0247295	1	0
0.123	6.200	1150	7772.72	686.802	1015.89	809.009	0.750114	0.249886	0.507583	0.467574	0.0248438	1	0
0.124	6.200	1150	7927.65	686.798	1015.89	809.009	0.745656	0.254344	0.505716	0.468945	0.0253391	1	0
0.125	6.200	1150	8082.1	686.795	1015.89	809.009	0.747257	0.252743	0.504763	0.469326	0.0259107	1	0
