time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	c_pop_0	c_pop_1
0.001	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.002	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.003	9.000	1100	-267073	-267073	1015.76	808.423	0.99963	0.00037037	1	0	1	0
0.004	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.005	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.006	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.007	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.008	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.009	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.01	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.011	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.012	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.013	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.014	9.000	1100	-267073	-267073	1015.76	808.423	0.99963	0.00037037	1	0	1	0
0.015	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.016	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.017	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.018	9.000	1100	-267073	-267073	1015.76	808.423	0.99963	0.00037037	1	0	1	0
0.019	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.02	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.021	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.022	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.023	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.024	9.000	1100	-267073	-267073	1015.76	808.423	0.99963	0.00037037	1	0	1	0
0.025	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.026	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.027	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.028	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.029	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.03	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.031	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.032	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.033	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.034	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
0.035	9.000	1100	-267073	-267073	1015.76	808.423	1	0	1	0	1	0
