dt	pCa	dhsl	mode
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005  9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	9.0	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
0.0005	5.8	0.0	-2.0
