time	pCa	hs_length	force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	c_pop_0	c_pop_1
0.0005	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.001	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0015	9.000	1615	-5.68434e-06	1015.87	809	0.99963	0.00037037	1	0	1	0
0.002	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0025	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.003	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0035	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.004	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0045	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.005	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0055	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.006	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0065	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.007	9.000	1615	-5.68434e-06	1015.87	809	0.99963	0.00037037	1	0	1	0
0.0075	9.000	1615	-5.68434e-06	1015.87	809	0.99963	0.00037037	1	0	1	0
0.008	9.000	1615	-5.68434e-06	1015.87	809	0.99963	0.00037037	1	0	1	0
0.0085	9.000	1615	-5.68434e-06	1015.87	809	0.99963	0.00037037	1	0	1	0
0.009	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0095	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.01	9.000	1615	-5.68434e-06	1015.87	809	1	0	1	0	1	0
0.0105	4.500	1615	825.024	1015.88	809.002	0.628519	0.371481	0.99716	0.00283951	1	0
0.011	4.500	1615	2396.06	1015.88	809.005	0.348889	0.651111	0.991111	0.00888889	1	0
0.0115	4.500	1615	3936.49	1015.89	809.007	0.21	0.79	0.984938	0.0150617	1	0
0.012	4.500	1615	5928.08	1015.89	809.011	0.145556	0.854444	0.978025	0.0219753	1	0
0.0125	4.500	1615	7207.23	1015.9	809.013	0.124444	0.875556	0.973333	0.0266667	1	0
0.013	4.500	1615	8365.03	1015.9	809.016	0.11037	0.88963	0.968765	0.0312346	1	0
0.0135	4.500	1615	8665.55	1015.9	809.016	0.101852	0.898148	0.967654	0.0323457	1	0
