time	pCa	hs_length	hs_command_length	hs_slack_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.0001	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.998086	0.00191358	0	1	0
0.0002	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.99537	0.00462963	0	1	0
0.0003	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.992593	0.00740741	0	1	0
0.0004	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.989753	0.0102469	0	1	0
0.0005	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.98679	0.0132099	0	1	0
0.0006	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.984938	0.0150617	0	1	0
0.0007	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.982407	0.0175926	0	1	0
0.0008	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.98037	0.0196296	0	1	0
0.0009	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.977716	0.022284	0	1	0
0.001	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.975494	0.0245062	0	1	0
0.0011	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.974259	0.0257407	0	1	0
0.0012	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.971975	0.0280247	0	1	0
0.0013	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.969877	0.0301235	0	1	0
0.0014	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.96821	0.0317901	0	1	0
0.0015	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.966296	0.0337037	0	1	0
0.0016	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.965123	0.0348765	0	1	0
0.0017	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.963704	0.0362963	0	1	0
0.0018	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.962284	0.037716	0	1	0
0.0019	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.960864	0.0391358	0	1	0
0.002	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.959136	0.0408642	0	1	0
0.0021	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.956728	0.0432716	0	1	0
0.0022	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.955679	0.044321	0	1	0
0.0023	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.954321	0.045679	0	1	0
0.0024	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.953272	0.0467284	0	1	0
0.0025	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.951173	0.0488272	0	1	0
0.0026	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.95	0.05	0	1	0
0.0027	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.94858	0.0514198	0	1	0
0.0028	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.947099	0.0529012	0	1	0
0.0029	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.945123	0.0548765	0	1	0
0.003	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.943704	0.0562963	0	1	0
0.0031	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.942716	0.057284	0	1	0
0.0032	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.941049	0.0589506	0	1	0
0.0033	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.939877	0.0601235	0	1	0
0.0034	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.938333	0.0616667	0	1	0
0.0035	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.937099	0.0629012	0	1	0
0.0036	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.936049	0.0639506	0	1	0
0.0037	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.935309	0.0646914	0	1	0
0.0038	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.934568	0.0654321	0	1	0
0.0039	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.933827	0.0661728	0	1	0
0.004	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.933333	0.0666667	0	1	0
0.0041	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.932654	0.0673457	0	1	0
0.0042	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.930494	0.0695062	0	1	0
0.0043	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.929506	0.0704938	0	1	0
0.0044	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.929012	0.0709877	0	1	0
0.0045	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.92858	0.0714198	0	1	0
0.0046	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.927099	0.0729012	0	1	0
0.0047	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.926358	0.073642	0	1	0
0.0048	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.924877	0.0751235	0	1	0
0.0049	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.923704	0.0762963	0	1	0
0.005	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.922901	0.0770988	0	1	0
0.0051	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.921975	0.0780247	0	1	0
0.0052	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.92179	0.0782099	0	1	0
0.0053	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.921235	0.0787654	0	1	0
0.0054	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.920432	0.0795679	0	1	0
0.0055	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.919321	0.080679	0	1	0
0.0056	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.918086	0.0819136	0	1	0
0.0057	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.917099	0.0829012	0	1	0
0.0058	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.916728	0.0832716	0	1	0
0.0059	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.915988	0.0840123	0	1	0
0.006	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.916049	0.0839506	0	1	0
0.0061	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.915247	0.0847531	0	1	0
0.0062	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.914753	0.0852469	0	1	0
0.0063	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999815	0.000185185	0.914321	0.085679	0	1	0
0.0064	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.914259	0.0857407	0	1	0
0.0065	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.913333	0.0866667	0	1	0
0.0066	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.91216	0.0878395	0	1	0
0.0067	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.911605	0.0883951	0	1	0
0.0068	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.910864	0.0891358	0	1	0
0.0069	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.910247	0.0897531	0	1	0
0.007	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.909444	0.0905556	0	1	0
0.0071	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999722	0.000277778	0.908395	0.0916049	0	1	0
0.0072	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999815	0.000185185	0.908148	0.0918519	0	1	0
0.0073	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.908333	0.0916667	0	1	0
0.0074	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.908086	0.0919136	0	1	0
0.0075	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.907099	0.0929012	0	1	0
0.0076	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.90642	0.0935802	0	1	0
0.0077	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.906049	0.0939506	0	1	0
0.0078	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.905247	0.0947531	0	1	0
0.0079	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.905432	0.0945679	0	1	0
0.008	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.905247	0.0947531	0	1	0
0.0081	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.905494	0.0945062	0	1	0
0.0082	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.905062	0.0949383	0	1	0
0.0083	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.903765	0.0962346	0	1	0
0.0084	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.903457	0.0965432	0	1	0
0.0085	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.903395	0.0966049	0	1	0
0.0086	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.903642	0.096358	0	1	0
0.0087	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.903827	0.0961728	0	1	0
0.0088	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.903272	0.0967284	0	1	0
0.0089	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.902778	0.0972222	0	1	0
0.009	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.902099	0.0979012	0	1	0
0.0091	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.902222	0.0977778	0	1	0
0.0092	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.902284	0.097716	0	1	0
0.0093	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.902222	0.0977778	0	1	0
0.0094	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.901296	0.0987037	0	1	0
0.0095	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.901358	0.098642	0	1	0
0.0096	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.901049	0.0989506	0	1	0
0.0097	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.900062	0.0999383	0	1	0
0.0098	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	1	0	0.899815	0.100185	0	1	0
0.0099	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.900309	0.0996914	0	1	0
0.01	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.900679	0.099321	0	1	0
0.0101	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.899259	0.100741	0	1	0
0.0102	9.000	1100	1100	-nan(ind)	6172.25	6172.25	0	1015.88	818.621	0.999907	9.25926e-05	0.897716	0.102284	0	1	0
