dt     pCa dhsl mode
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
0.001 4.8 0.0 -2.0
