dt	pCa	dhsl	Mode
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.01	9	0	-2
0.001	9	-0.0128048	-2
0.001	9	0.000514231	-2
0.001	9	-0.00730407	-2
0.001	9	-0.00866133	-2
0.001	9	-0.00973249	-2
0.001	9	0.00404653	-2
0.001	9	-0.00431186	-2
0.001	9	0.00733386	-2
0.001	9	0.0171524	-2
0.001	9	-0.00970427	-2
0.001	9	-0.0268109	-2
0.001	9	-0.00671096	-2
0.001	9	-0.00669998	-2
0.001	9	0.00669998	-2
0.001	9	-0.0117305	-2
0.001	9	0.01005	-2
0.001	9	-0.00336097	-2
0.001	9	0.0117414	-2
0.001	9	0.00168049	-2
0.001	9	0.0217804	-2
0.001	9	0.0100609	-2
0.001	9	0.0016695	-2
0.001	9	0.00334999	-2
0.001	9	0.0150914	-2
0.001	9	0.0016695	-2
0.001	9	-0.01005	-2
0.001	9	0.01005	-2
0.001	9	-0.00334999	-2
0.001	9	-0.00669998	-2
0.001	9	0.0117305	-2
0.001	9	0.0201109	-2
0.001	9	0.00336097	-2
0.001	9	0.0268109	-2
0.001	9	-0.00669998	-2
0.001	9	-0.00838046	-2
0.001	9	-0.00669998	-2
0.001	9	0.00671096	-2
0.001	9	-0.0184414	-2
0.001	9	-0.00334999	-2
0.001	9	-0.0167609	-2
0.001	9	0	-2
0.001	9	-0.00503047	-2
0.001	9	-2.89E-13	-2
0.001	9	-0.0150914	-2
0.001	9	0.0234719	-2
0.001	9	0	-2
0.001	9	-0.00501949	-2
0.001	9	-0.00503047	-2
0.001	9	-0.00671096	-2
0.001	9	-0.00503047	-2
0.001	9	-0.00503047	-2
0.001	9	-0.00503047	-2
0.001	9	-0.0184304	-2
0.001	9	0.00669998	-2
0.001	9	0	-2
0.001	9	0.0100609	-2
0.001	9	-0.00671096	-2
0.001	9	0.0134109	-2
0.001	9	-0.00168049	-2
0.001	9	-0.0016695	-2
0.001	9	-0.0100609	-2
0.001	9	0.0134109	-2
0.001	9	-0.00669998	-2
0.001	9	0.00168049	-2
0.001	9	-0.0117414	-2
0.001	9	0.0167609	-2
0.001	9	-0.0134109	-2
0.001	9	0.00838046	-2
0.001	9	0	-2
0.001	9	0.0184414	-2
0.001	9	-0.00669998	-2
0.001	9	0.0016695	-2
0.001	9	-0.0134109	-2
0.001	9	0.00838046	-2
0.001	9	-0.00168049	-2
0.001	9	0.00334999	-2
0.001	9	0.00503047	-2
0.001	9	-0.0117305	-2
0.001	9	-0.00334999	-2
0.001	9	0.00503047	-2
0.001	9	0.0134109	-2
0.001	9	-0.0150804	-2
0.001	9	0.0268109	-2
0.001	9	-0.00334999	-2
0.001	9	-0.01005	-2
0.001	9	-0.0117414	-2
0.001	9	0.00838046	-2
0.001	9	-0.01005	-2
0.001	9	-0.00503047	-2
0.001	9	-0.0150804	-2
0.001	9	0.00503047	-2
0.001	9	0	-2
0.001	9	0.0117305	-2
0.001	9	-0.0100609	-2
0.001	9	0.0201109	-2
0.001	9	-0.0150914	-2
0.001	9	-0.00334999	-2
0.001	9	0.0134	-2
0.001	9	0.0251414	-2
0.001	9	-0.00671096	-2
0.001	9	-0.0117305	-2
0.001	9	0.00334999	-2
0.001	9	-0.0217914	-2
0.001	9	0.0016695	-2
0.001	9	-0.00334999	-2
0.001	9	0	-2
0.001	9	0.00503047	-2
0.001	9	0.0117305	-2
0.001	9	0.0100609	-2
0.001	9	0.0016695	-2
0.001	9	-0.00168049	-2
0.001	9	0.00671096	-2
0.001	9	0	-2
0.001	9	0.00336097	-2
0.001	9	-0.00334999	-2
0.001	9	0.0134109	-2
0.001	9	0	-2
0.001	9	-0.00334999	-2
0.001	9	-0.0201109	-2
0.001	9	0.0134109	-2
0.001	9	0.0150804	-2
0.001	9	0.00168049	-2
0.001	9	-0.01005	-2
0.001	9	0.0134109	-2
0.001	9	-0.00168049	-2
0.001	9	-0.00334999	-2
0.001	9	0.00669998	-2
0.001	9	0.00168049	-2
0.001	9	-0.0117305	-2
0.001	9	0.0201109	-2
0.001	9	-0.00334999	-2
0.001	9	-0.0100609	-2
0.001	9	0.00838046	-2
0.001	9	-0.00168049	-2
0.001	9	-0.0100609	-2
0.001	9	-0.00838046	-2
0.001	9	0.00503047	-2
0.001	9	-0.01005	-2
0.001	9	-0.00671096	-2
0.001	9	-0.00669998	-2
0.001	9	-0.00503047	-2
0.001	9	0.00334999	-2
0.001	9	0.0117305	-2
0.001	9	-0.0167609	-2
0.001	9	0.0318414	-2
0.001	9	0.00168049	-2
0.001	9	-0.00669998	-2
0.001	9	-0.0150914	-2
0.001	9	0.0134109	-2
0.001	9	-0.0335109	-2
0.001	9	0.00334999	-2
0.001	9	0.0184414	-2
0.001	9	-0.0117305	-2
0.001	9	0.00168049	-2
0.001	9	0.00168049	-2
0.001	9	-0.00503047	-2
0.001	9	-0.00503047	-2
0.001	9	0.0268109	-2
0.001	9	0.00334999	-2
0.001	9	0.0167609	-2
0.001	9	0.00168049	-2
0.001	9	0.0016695	-2
0.001	9	0	-2
0.001	9	0.00334999	-2
0.001	9	-0.0234609	-2
0.001	9	0.0184304	-2
0.001	9	0.0016695	-2
0.001	9	0.00838046	-2
0.001	9	-0.00838046	-2
0.001	9	0.0217804	-2
0.001	9	0.00669998	-2
0.001	9	-0.0150914	-2
0.001	9	0.00334999	-2
0.001	9	0	-2
0.001	9	-0.00168049	-2
0.001	9	0.0167609	-2
0.001	9	0.00334999	-2
0.001	9	-0.0150804	-2
0.001	9	0	-2
0.001	9	-0.0134109	-2
0.001	9	-0.00669998	-2
0.001	9	-0.01005	-2
0.001	9	0.00334999	-2
0.001	9	0.00838046	-2
0.001	9	-0.00334999	-2
0.001	9	-0.00501949	-2
0.001	9	0.00168049	-2
0.001	9	-0.01005	-2
0.001	9	-0.00671096	-2
0.001	9	-0.0184304	-2
0.001	9	-0.00334999	-2
0.001	9	0.00336097	-2
0.001	9	0.00168049	-2
0.001	9	-0.00336097	-2
0.001	9	0.0184414	-2
0.001	9	-0.0234609	-2
0.001	9	-0.0117305	-2
0.001	9	0.0150804	-2
0.001	9	0.00336097	-2
0.001	9	-0.0134109	-2
0.001	9	-0.00336097	-2
0.001	9	0.0134109	-2
0.001	9	-0.01005	-2
0.001	9	-0.00334999	-2
0.001	9	0.0016695	-2
0.001	9	-0.0100609	-2
0.001	9	-0.00334999	-2
0.001	9	0.0201109	-2
0.001	9	-0.00501949	-2
0.001	9	0.0150804	-2
0.001	9	-0.00503047	-2
0.001	9	0.0117305	-2
0.001	9	-0.00838046	-2
0.001	9	-0.0016695	-2
0.001	9	-0.0150804	-2
0.001	9	0.0201109	-2
0.001	9	0.0100609	-2
0.001	9	-0.0217914	-2
0.001	9	-0.00503047	-2
0.001	9	0.0100609	-2
0.001	9	-0.00669998	-2
0.001	9	0.00501949	-2
0.001	9	0.00501949	-2
0.001	9	0.0100609	-2
0.001	9	0.00503047	-2
0.001	9	0.0150804	-2
0.001	9	-0.00838046	-2
0.001	9	-0.0134109	-2
0.001	9	0.0117305	-2
0.001	9	-0.0201109	-2
0.001	9	-0.0016695	-2
0.001	9	-0.0217914	-2
0.001	9	0.01005	-2
0.001	9	0.0167609	-2
0.001	9	-0.00671096	-2
0.001	9	-0.01005	-2
0.001	9	0.00334999	-2
0.001	9	-0.0016695	-2
0.001	9	0.0016695	-2
0.001	9	-0.00503047	-2
0.001	9	0.0117305	-2
0.001	9	-0.0184304	-2
0.001	9	0.0134109	-2
0.001	9	-0.0117414	-2
0.001	9	0.0167609	-2
0.001	9	-0.0150804	-2
0.001	9	0.0016695	-2
0.001	9	-0.00503047	-2
0.001	9	0.0167609	-2
0.001	9	0.00503047	-2
0.001	9	-2.89E-13	-2
0.001	9	0.00838046	-2
0.001	9	-0.01005	-2
0.001	9	-0.0234609	-2
0.001	9	0.0134109	-2
0.001	9	-0.00503047	-2
0.001	9	-0.00838046	-2
0.001	9	0.0117305	-2
0.001	9	0	-2
0.001	9	0.00838046	-2
0.001	9	-0.00669998	-2
0.001	9	0.00334999	-2
0.001	9	-0.00838046	-2
0.001	9	0.00336097	-2
0.001	9	-0.0184304	-2
0.001	9	0.0117305	-2
0.001	9	0.00334999	-2
0.001	9	0.00334999	-2
0.001	9	-0.0251414	-2
0.001	9	0.0117305	-2
0.001	9	-0.00838046	-2
0.001	9	-0.00669998	-2
0.001	9	0.00838046	-2
0.001	9	0.0117305	-2
0.001	9	-0.0150804	-2
0.001	9	0.0016695	-2
0.001	9	0.00503047	-2
0.001	9	-0.0100609	-2
0.001	9	0.00503047	-2
0.001	9	-0.00168049	-2
0.001	9	0.01005	-2
0.001	9	0.00168049	-2
0.001	9	0.00168049	-2
0.001	9	-0.00503047	-2
0.001	9	0	-2
0.001	9	-0.0217804	-2
0.001	9	0.0217914	-2
0.001	9	-0.00836948	-2
0.001	9	-0.00168049	-2
0.001	9	-0.0100609	-2
0.001	9	0.0150804	-2
0.001	9	0.0117305	-2
0.001	9	0.00669998	-2
0.001	9	0.0167609	-2
0.001	9	0.0251414	-2
0.001	9	0.0167609	-2
0.001	9	0.0134	-2
0.001	9	0.0234719	-2
0.001	9	0.0251414	-2
0.001	9	0.0167609	-2
0.001	9	0.0419023	-2
0.001	9	0.0318414	-2
0.001	9	0.0469218	-2
0.001	9	0.0419023	-2
0.001	9	0.0502718	-2
0.001	9	0.0569828	-2
0.001	9	0.0368718	-2
0.001	9	0.0804437	-2
0.001	9	0.0670437	-2
0.001	9	0.0720742	-2
0.001	9	0.0737437	-2
0.001	9	0.0787632	-2
0.001	9	0.0687132	-2
0.001	9	0.0770937	-2
0.001	9	0.0737327	-2
0.001	9	0.107266	-2
0.001	9	0.0888351	-2
0.001	9	0.0804437	-2
0.001	9	0.0720632	-2
0.001	9	0.103916	-2
0.001	9	0.0636827	-2
0.001	9	0.0871436	-2
0.001	9	0.0737437	-2
0.001	9	0.100555	-2
0.001	9	0.0720742	-2
0.001	9	0.0955241	-2
0.001	9	0.0804437	-2
0.001	9	0.0720632	-2
0.001	9	0.0871436	-2
0.001	9	0.0921741	-2
0.001	9	0.0921741	-2
0.001	9	0.0838046	-2
0.001	9	0.100555	-2
0.001	9	0.0787632	-2
0.001	9	0.0854741	-2
0.001	9	0.0536328	-2
0.001	9	0.0871436	-2
0.001	9	0.0837936	-2
0.001	9	0.0938546	-2
0.001	9	0.0703827	-2
0.001	9	0.118996	-2
0.001	9	0.0888351	-2
0.001	9	0.0938546	-2
0.001	9	0.0804437	-2
0.001	9	0.110605	-2
0.001	9	0.0821241	-2
0.001	9	0.0888241	-2
0.001	9	0.0888241	-2
0.001	9	0.0972046	-2
0.001	9	0.100555	-2
0.001	9	0.0770937	-2
0.001	9	0.0837936	-2
0.001	9	0.0754242	-2
0.001	9	0.0804437	-2
0.001	9	0.108946	-2
0.001	9	0.0921741	-2
0.001	9	0.0938546	-2
0.001	9	0.107266	-2
0.001	9	0.0955351	-2
0.001	9	0.0905046	-2
0.001	9	0.0670437	-2
0.001	9	0.0938436	-2
0.001	9	0.0804437	-2
0.001	9	0.0821241	-2
0.001	9	0.0720742	-2
0.001	9	0.0938546	-2
0.001	9	0.0938546	-2
0.001	9	0.102235	-2
0.001	9	0.0804546	-2
0.001	9	0.0854741	-2
0.001	9	0.0955351	-2
0.001	9	0.0804437	-2
0.001	9	0.110616	-2
0.001	9	0.112296	-2
0.001	9	0.0603327	-2
0.001	9	0.0821241	-2
0.001	9	0.0888241	-2
0.001	9	0.0787741	-2
0.001	9	0.0754132	-2
0.001	9	0.0905046	-2
0.001	9	0.0787632	-2
0.001	9	0.0821241	-2
0.001	9	0.107266	-2
0.001	9	0.0921741	-2
0.001	9	0.0921741	-2
0.001	9	0.0905046	-2
0.001	9	0.0938546	-2
0.001	9	0.0821241	-2
0.001	9	0.0972046	-2
0.001	9	0.0737437	-2
0.001	9	0.0938546	-2
0.001	9	0.107266	-2
0.001	9	0.0787632	-2
0.001	9	0.0804437	-2
0.001	9	0.113966	-2
0.001	9	0.0938546	-2
0.001	9	0.0854741	-2
0.001	9	0.0871436	-2
0.001	9	0.115646	-2
0.001	9	0.0787632	-2
0.001	9	0.102235	-2
0.001	9	0.0838046	-2
0.001	9	0.0804437	-2
0.001	9	0.0888241	-2
0.001	9	0.0854741	-2
0.001	9	0.0837936	-2
