dt     pCa dhsl mode
0.001 6.9598 0.0 -2.0
0.001 6.9598 0.0 -2.0
0.001 6.9602 0.0 -2.0
0.001 6.9606 0.0 -2.0
0.001 6.9610 0.0 -2.0
0.001 6.9610 0.0 -2.0
0.001 6.9614 0.0 -2.0
0.001 6.9618 0.0 -2.0
0.001 6.9618 0.0 -2.0
0.001 6.9622 0.0 -2.0
0.001 6.9626 0.0 -2.0
0.001 6.9626 0.0 -2.0
0.001 6.9630 0.0 -2.0
0.001 6.9634 0.0 -2.0
0.001 6.9634 0.0 -2.0
0.001 6.9638 0.0 -2.0
0.001 6.9642 0.0 -2.0
0.001 6.9642 0.0 -2.0
0.001 6.9646 0.0 -2.0
0.001 6.9650 0.0 -2.0
0.001 6.9650 0.0 -2.0
0.001 6.9654 0.0 -2.0
0.001 6.9654 0.0 -2.0
0.001 6.9658 0.0 -2.0
0.001 6.9658 0.0 -2.0
0.001 6.9662 0.0 -2.0
0.001 6.9666 0.0 -2.0
0.001 6.9666 0.0 -2.0
0.001 6.9670 0.0 -2.0
0.001 6.9670 0.0 -2.0
0.001 6.9674 0.0 -2.0
0.001 6.9674 0.0 -2.0
0.001 6.9678 0.0 -2.0
0.001 6.9678 0.0 -2.0
0.001 6.9682 0.0 -2.0
0.001 6.9682 0.0 -2.0
0.001 6.9686 0.0 -2.0
0.001 6.9686 0.0 -2.0
0.001 6.9690 0.0 -2.0
0.001 6.9690 0.0 -2.0
0.001 6.9694 0.0 -2.0
0.001 6.9694 0.0 -2.0
0.001 6.9698 0.0 -2.0
0.001 6.9698 0.0 -2.0
0.001 6.9702 0.0 -2.0
0.001 6.9702 0.0 -2.0
0.001 6.9702 0.0 -2.0
0.001 6.9706 0.0 -2.0
0.001 6.9706 0.0 -2.0
0.001 6.9598 0.0 -2.0
0.001 6.9598 0.0 -2.0
0.001 6.9602 0.0 -2.0
0.001 6.9606 0.0 -2.0
0.001 6.9610 0.0 -2.0
0.001 6.9610 0.0 -2.0
0.001 6.9614 0.0 -2.0
0.001 6.9618 0.0 -2.0
0.001 6.9618 0.0 -2.0
0.001 6.9622 0.0 -2.0
0.001 6.9626 0.0 -2.0
0.001 6.9626 0.0 -2.0
0.001 6.9630 0.0 -2.0
0.001 6.9634 0.0 -2.0
0.001 6.9634 0.0 -2.0
0.001 6.9638 0.0 -2.0
0.001 6.9642 0.0 -2.0
0.001 6.9642 0.0 -2.0
0.001 6.9646 0.0 -2.0
0.001 6.9650 0.0 -2.0
0.001 6.9650 0.0 -2.0
0.001 6.9654 0.0 -2.0
0.001 6.9654 0.0 -2.0
0.001 6.9658 0.0 -2.0
0.001 6.9658 0.0 -2.0
0.001 6.9662 0.0 -2.0
0.001 6.9666 0.0 -2.0
0.001 6.9666 0.0 -2.0
0.001 6.9670 0.0 -2.0
0.001 6.9670 0.0 -2.0
0.001 6.9674 0.0 -2.0
0.001 6.9674 0.0 -2.0
0.001 6.9678 0.0 -2.0
0.001 6.9678 0.0 -2.0
0.001 6.9682 0.0 -2.0
0.001 6.9682 0.0 -2.0
0.001 6.9686 0.0 -2.0
0.001 6.9686 0.0 -2.0
0.001 6.9690 0.0 -2.0
0.001 6.9690 0.0 -2.0
0.001 6.9694 0.0 -2.0
0.001 6.9694 0.0 -2.0
0.001 6.9698 0.0 -2.0
0.001 6.9698 0.0 -2.0
0.001 6.9702 0.0 -2.0
0.001 6.9702 0.0 -2.0
0.001 6.9702 0.0 -2.0
0.001 6.9706 0.0 -2.0
