time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.001	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999891	0.000108507	0.990584	0.00941599	0	1	0
0.002	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999891	0.000108507	0.982048	0.0179519	0	1	0
0.003	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.973862	0.0261381	0	1	0
0.004	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.966423	0.0335769	0	1	0
0.005	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.959563	0.0404369	0	1	0
0.006	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.953752	0.0462481	0	1	0
0.007	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.948773	0.0512273	0	1	0
0.008	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.943818	0.0561825	0	1	0
0.009	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.939634	0.060366	0	1	0
0.01	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.93627	0.0637297	0	1	0
0.011	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.932786	0.067214	0	1	0
0.012	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.929253	0.0707465	0	1	0
0.013	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.926649	0.0733507	0	1	0
0.014	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.924539	0.0754606	0	1	0
0.015	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.922996	0.0770038	0	1	0
0.016	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.921055	0.0789448	0	1	0
0.017	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.919174	0.0808256	0	1	0
0.018	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.917716	0.0822844	0	1	0
0.019	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.915859	0.0841411	0	1	0
0.02	9.000	950	1859.07	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.914979	0.0850092	1.20563e-05	1	0
0.021	9.000	950	1859.07	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.914557	0.0854311	1.20563e-05	1	0
