time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	4422.4	-nan(ind)	-nan(ind)	9.23	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.53858	0.46142	0	1	0	0
0.002	1100.000	4422.4	-nan(ind)	-nan(ind)	8.93	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.311728	0.688272	0	1	0	0
0.003	1100.000	4422.4	-nan(ind)	-nan(ind)	8.76	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.17284	0.82716	0	1	0	0
0.004	1100.000	4422.4	-nan(ind)	-nan(ind)	8.64	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.100309	0.899691	0	1	0	0
0.005	1100.000	4422.4	-nan(ind)	-nan(ind)	8.54	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0756173	0.924383	0	1	0	0
0.006	1100.000	4422.4	-nan(ind)	-nan(ind)	8.47	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0416667	0.958333	0	1	0	0
0.007	1100.000	4422.4	-nan(ind)	-nan(ind)	8.41	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0262346	0.973765	0	1	0	0
0.008	1100.000	4422.4	-nan(ind)	-nan(ind)	8.35	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0262346	0.973765	0	1	0	0
0.009	1100.000	4422.4	-nan(ind)	-nan(ind)	8.31	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0231481	0.976852	0	1	0	0
0.01	1100.000	4422.4	-nan(ind)	-nan(ind)	8.26	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0308642	0.969136	0	1	0	0
0.011	1100.000	4422.4	-nan(ind)	-nan(ind)	8.23	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0339506	0.966049	0	1	0	0
0.012	1100.000	4422.4	-nan(ind)	-nan(ind)	8.19	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0324074	0.967593	0	1	0	0
0.013	1100.000	4422.4	-nan(ind)	-nan(ind)	8.16	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0262346	0.973765	0	1	0	0
0.014	1100.000	4422.4	-nan(ind)	-nan(ind)	8.14	1100	1100	-nan(ind)	1015.9	809.117	4422.4	2.17317e-11	0	0	0	1	0	0.0216049	0.978395	0	1	0	0
