dt	pCa	dhsl	mode
0.001	9.223584890251303	0.0	-2.0
0.001	8.924288727972678	0.0	-2.0
0.001	8.749928985748461	0.0	-2.0
0.001	8.626719449454802	0.0	-2.0
0.001	8.531536320296459	0.0	-2.0
0.001	8.454079641700341	0.0	-2.0
0.001	8.38885510320457	0.0	-2.0
0.001	8.332583091141426	0.0	-2.0
0.001	8.283148187499467	0.0	-2.0
0.001	8.239105999761088	0.0	-2.0
0.001	8.19942630158284	0.0	-2.0
0.001	8.163348411986705	0.0	-2.0
0.001	8.13029466150446	0.0	-2.0
0.001	8.09981601857893	0.0	-2.0
0.001	8.071556520516262	0.0	-2.0
0.001	8.04522920731448	0.0	-2.0
0.001	8.020599364303836	0.0	-2.0
0.001	7.99747256184808	0.0	-2.0
0.001	7.975685933084499	0.0	-2.0
0.001	7.9551016915498005	0.0	-2.0
0.001	7.935602232035422	0.0	-2.0
0.001	7.917086372185134	0.0	-2.0
0.001	7.8994664302282445	0.0	-2.0
0.001	7.88266592510601	0.0	-2.0
0.001	7.866617746398126	0.0	-2.0
0.001	7.851262683394851	0.0	-2.0
0.001	7.836548231922021	0.0	-2.0
0.001	7.822427618265512	0.0	-2.0
0.001	7.808858994453099	0.0	-2.0
0.001	7.795804770015186	0.0	-2.0
0.001	7.783231053357345	0.0	-2.0
0.001	7.771107181852589	0.0	-2.0
0.001	7.759405324264337	0.0	-2.0
0.001	7.748100142537897	0.0	-2.0
0.001	7.7371685026299275	0.0	-2.0
0.001	7.726589226083587	0.0	-2.0
0.001	7.716342875648219	0.0	-2.0
0.001	7.706411569493999	0.0	-2.0
0.001	7.696778819563268	0.0	-2.0
0.001	7.687429390390739	0.0	-2.0
0.001	7.678349175358976	0.0	-2.0
0.001	7.669525087867466	0.0	-2.0
0.001	7.6609449653091035	0.0	-2.0
0.001	7.652597484086948	0.0	-2.0
0.001	7.644472084182231	0.0	-2.0
0.001	7.636558902013699	0.0	-2.0
0.001	7.628848710518154	0.0	-2.0
0.001	7.62133286553978	0.0	-2.0
0.001	7.614003257747579	0.0	-2.0
0.001	7.606852269410676	0.0	-2.0
0.001	7.599872735454176	0.0	-2.0
0.001	7.593057908296759	0.0	-2.0
0.001	7.586401426037701	0.0	-2.0
0.001	7.579897283617625	0.0	-2.0
0.001	7.573539806625517	0.0	-2.0
0.001	7.567323627465859	0.0	-2.0
0.001	7.561243663635223	0.0	-2.0
0.001	7.555295097888148	0.0	-2.0
0.001	7.5494733600984905	0.0	-2.0
0.001	7.543774110645268	0.0	-2.0
0.001	7.53819322517175	0.0	-2.0
0.001	7.532726780583834	0.0	-2.0
0.001	7.5273710421686815	0.0	-2.0
0.001	7.522122451727772	0.0	-2.0
0.001	7.5169776166299895	0.0	-2.0
0.001	7.511933299700444	0.0	-2.0
