time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.001	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.910837	0.0891632	0	1	0
0.002	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.820988	0.179012	0	1	0
0.003	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.75583	0.24417	0	1	0
0.004	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.721536	0.278464	0	1	0
0.005	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.680384	0.319616	0	1	0
0.006	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.64952	0.35048	0	1	0
0.007	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.6262	0.3738	0	1	0
0.008	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.591907	0.408093	0	1	0
0.009	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.588477	0.411523	0	1	0
0.01	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.580247	0.419753	0	1	0
0.011	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.572016	0.427984	0	1	0
0.012	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.572016	0.427984	0	1	0
0.013	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.564472	0.435528	0	1	0
0.014	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.559671	0.440329	0	1	0
0.015	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.543896	0.456104	0	1	0
0.016	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.549383	0.450617	0	1	0
0.017	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.540466	0.459534	0	1	0
0.018	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.535665	0.464335	0	1	0
0.019	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.529492	0.470508	0	1	0
0.02	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.516461	0.483539	0	1	0
0.021	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.50823	0.49177	0	1	0
0.022	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.502743	0.497257	0	1	0
0.023	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.502058	0.497942	0	1	0
0.024	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.507545	0.492455	0	1	0
0.025	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.515089	0.484911	0	1	0
0.026	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.513032	0.486968	0	1	0
0.027	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.528121	0.471879	0	1	0
0.028	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.516461	0.483539	0	1	0
0.029	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.515089	0.484911	0	1	0
0.03	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.497942	0.502058	0	1	0
0.031	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.515775	0.484225	0	1	0
0.032	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.515775	0.484225	0	1	0
0.033	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.509602	0.490398	0	1	0
0.034	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517833	0.482167	0	1	0
0.035	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.507545	0.492455	0	1	0
0.036	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.503429	0.496571	0	1	0
0.037	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.502743	0.497257	0	1	0
0.038	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.519204	0.480796	0	1	0
0.039	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.526063	0.473937	0	1	0
0.04	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.535665	0.464335	0	1	0
0.041	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.533608	0.466392	0	1	0
0.042	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.528121	0.471879	0	1	0
0.043	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517833	0.482167	0	1	0
0.044	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.519204	0.480796	0	1	0
0.045	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.521262	0.478738	0	1	0
0.046	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.998971	0.00102881	0.53155	0.46845	0	1	0
0.047	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.998971	0.00102881	0.530178	0.469822	0	1	0
0.048	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.526749	0.473251	0	1	0
0.049	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.526063	0.473937	0	1	0
0.05	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517147	0.482853	0	1	0
0.051	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517147	0.482853	0	1	0
0.052	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.501372	0.498628	0	1	0
0.053	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.506173	0.493827	0	1	0
0.054	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.497942	0.502058	0	1	0
0.055	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.500686	0.499314	0	1	0
0.056	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.506859	0.493141	0	1	0
0.057	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.998971	0.00102881	0.503429	0.496571	0	1	0
0.058	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.998971	0.00102881	0.51166	0.48834	0	1	0
0.059	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.515089	0.484911	0	1	0
0.06	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.519204	0.480796	0	1	0
0.061	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.520576	0.479424	0	1	0
0.062	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.526063	0.473937	0	1	0
0.063	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.525377	0.474623	0	1	0
0.064	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.532236	0.467764	0	1	0
0.065	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.533608	0.466392	0	1	0
0.066	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.530178	0.469822	0	1	0
0.067	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.522634	0.477366	0	1	0
0.068	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517833	0.482167	0	1	0
0.069	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.521948	0.478052	0	1	0
0.07	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.522634	0.477366	0	1	0
0.071	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.526063	0.473937	0	1	0
0.072	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.513032	0.486968	0	1	0
0.073	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.516461	0.483539	0	1	0
0.074	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517833	0.482167	0	1	0
0.075	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.513717	0.486283	0	1	0
0.076	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.50823	0.49177	0	1	0
0.077	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517833	0.482167	0	1	0
0.078	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.525377	0.474623	0	1	0
0.079	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.524691	0.475309	0	1	0
0.08	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.516461	0.483539	0	1	0
0.081	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.514403	0.485597	0	1	0
0.082	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.506859	0.493141	0	1	0
0.083	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.50823	0.49177	0	1	0
0.084	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.517833	0.482167	0	1	0
0.085	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.526749	0.473251	0	1	0
0.086	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.524005	0.475995	0	1	0
0.087	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.526063	0.473937	0	1	0
0.088	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.529492	0.470508	0	1	0
0.089	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.529492	0.470508	0	1	0
0.09	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.519204	0.480796	0	1	0
0.091	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.529492	0.470508	0	1	0
0.092	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.537723	0.462277	0	1	0
0.093	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.524691	0.475309	0	1	0
0.094	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.52332	0.47668	0	1	0
0.095	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.514403	0.485597	0	1	0
0.096	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.519204	0.480796	0	1	0
0.097	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.515089	0.484911	0	1	0
0.098	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.513032	0.486968	0	1	0
0.099	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.504801	0.495199	0	1	0
0.1	4.500	950	3014.01	1853.89	0	1015.88	809.006	0.550412	0.449588	0.502058	0.494856	0.00308642	0.992593	0.00740741
0.101	4.500	950	5081.17	1853.65	0	1015.88	809.009	0.330247	0.669753	0.480796	0.510288	0.00891632	0.992593	0.00740741
0.102	4.500	950	6592.72	1853.44	0	1015.88	809.011	0.294239	0.705761	0.44513	0.541495	0.0133745	0.985185	0.0148148
0.103	4.500	950	7527.29	1853.33	0	1015.89	809.013	0.296296	0.703704	0.430041	0.553841	0.016118	0.988889	0.0111111
0.104	4.500	950	8986.93	1853.18	0	1015.89	809.014	0.269547	0.730453	0.390947	0.588134	0.0209191	0.981481	0.0185185
0.105	4.500	950	10111.2	1853.03	0	1015.89	809.016	0.271605	0.728395	0.367627	0.608711	0.0236626	0.981481	0.0185185
0.106	4.500	950	10675.6	1852.97	0	1015.89	809.017	0.25	0.75	0.331962	0.642318	0.0257202	0.974074	0.0259259
0.107	4.500	950	11456.1	1852.86	0	1015.89	809.018	0.245885	0.754115	0.31893	0.652949	0.0281207	0.981481	0.0185185
0.108	4.500	950	13062.7	1852.71	0	1015.9	809.019	0.238683	0.761317	0.296296	0.671125	0.0325789	0.981481	0.0185185
0.109	4.500	950	14282	1852.55	0	1015.9	809.021	0.238683	0.761317	0.270919	0.694102	0.0349794	0.981481	0.0185185
0.11	4.500	950	15142.3	1852.49	0	1015.9	809.022	0.251029	0.748971	0.26406	0.69856	0.03738	0.977778	0.0222222
0.111	4.500	950	15751.5	1852.4	0	1015.9	809.023	0.266461	0.733539	0.274348	0.686557	0.0390947	0.974074	0.0259259
0.112	4.500	950	16931	1852.3	0	1015.91	809.024	0.239712	0.760288	0.268861	0.688615	0.042524	0.974074	0.0259259
0.113	4.500	950	19087.9	1852.11	0	1015.91	809.025	0.22428	0.77572	0.248285	0.703361	0.0483539	0.974074	0.0259259
0.114	4.500	950	21534.6	1851.82	0	1015.92	809.029	0.219136	0.780864	0.241427	0.70439	0.0541838	0.974074	0.0259259
0.115	4.500	950	22884.1	1851.64	0	1015.92	809.031	0.215021	0.784979	0.221536	0.720508	0.0579561	0.974074	0.0259259
0.116	4.500	950	24167.2	1851.5	0	1015.92	809.032	0.233539	0.766461	0.227023	0.711591	0.0613855	0.974074	0.0259259
0.117	4.500	950	25550.2	1851.37	0	1015.93	809.034	0.213992	0.786008	0.219479	0.715021	0.0655007	0.977778	0.0222222
0.118	4.500	950	26817.5	1851.27	0	1015.93	809.035	0.209877	0.790123	0.216735	0.712963	0.0703018	0.988889	0.0111111
